,Rank,Title,Start Year,End Year,Rating,Duration,Votes,Genre,Certificate,Primary Genre
100,100,Anthony Bourdain: Parts Unknown,2013,2018,8.8,42 ,6406,"Documentary, Adventure",TV-PG,Documentary
101,101,Homicide Hunter,2011,2020,8.8,43 ,3375,"Documentary, Crime",TV-14,Documentary
102,102,Blackadder Goes Forth,1989,,8.8,175 ,53828,"Comedy, War",TV-PG,Comedy
103,103,Most Extreme Elimination Challenge,2003,2007,8.8,30 ,3333,"Action, Adventure, Comedy",TV-PG,Action
104,104,The Storyteller,1987,1989,8.8,24 ,4690,"Adventure, Drama, Family",TV-Y7,Adventure
105,105,Slings and Arrows,2003,2006,8.8,60 ,2752,Comedy,TV-MA,Comedy
106,106,Besa,2018,,8.8,45 ,4657,"Crime, Drama",,Crime
107,107,Good Mythical Morning,2012,,8.8,12 ,2151,"Comedy, Family, Talk-Show",TV-G,Comedy
108,108,Nightwatch,2015,,8.8,44 ,1004,Reality-TV,TV-14,Reality-TV
109,109,The Lizzie Bennet Diaries,2012,,8.8,3 ,3242,"Comedy, Drama",,Comedy
110,110,Stranger Things: Spotlight,2018,,8.8,,2432,Talk-Show,TV-14,Talk-Show
111,111,Screenwipe,2006,2020,8.8,30 ,2466,"Documentary, Comedy",TV-MA,Documentary
112,112,Hamilton's Pharmacopeia,2011,,8.8,60 ,1301,Documentary,TV-MA,Documentary
113,113,BuzzFeed Unsolved: True Crime,2016,2021,8.8,,1733,"Documentary, Comedy, Crime",TV-MA,Documentary
114,114,Vice,2013,2021,8.8,30 ,4329,"Documentary, News",TV-MA,Documentary
115,115,Bandon Mein Tha Dum!,2022,,8.8,48 ,6224,"Documentary, Sport",,Documentary
116,116,Cinemassacre's Monster Madness,2007,2022,8.8,,2035,Documentary,,Documentary
117,117,Strutter,2006,2007,8.8,22 ,1015,Comedy,,Comedy
118,118,Content Cop,2015,,8.8,20 ,12655,"Comedy, Crime, Talk-Show",TV-MA,Comedy
119,119,Pew News,2018,2020,8.8,15 ,14829,"Comedy, News",TV-MA,Comedy
120,120,Studio Julmahuvi,1998,,8.8,30 ,1219,Comedy,,Comedy
121,121,Yellowstone,2018,2023,8.7,60 ,160815,"Drama, Western",TV-MA,Drama
122,122,The Boys,2019,,8.7,60 ,525724,"Action, Comedy, Crime",TV-MA,Action
123,123,The Mandalorian,2019,,8.7,40 ,497232,"Action, Adventure, Fantasy",TV-14,Action
124,124,Stranger Things,2016,2024,8.7,51 ,1212379,"Drama, Fantasy, Horror",TV-14,Drama
125,125,Severance,2022,,8.7,55 ,136373,"Drama, Mystery, Sci-Fi",TV-MA,Drama
126,126,South Park,1997,,8.7,22 ,374398,"Animation, Comedy",TV-14,Animation
127,127,House M.D.,2004,2012,8.7,44 ,471120,"Drama, Mystery",TV-14,Drama
128,128,The Simpsons,1989,,8.7,22 ,411974,"Animation, Comedy",TV-14,Animation
129,129,Star Trek: The Next Generation,1987,1994,8.7,44 ,123494,"Action, Adventure, Sci-Fi",TV-PG,Action
130,130,Mad Men,2007,2015,8.7,47 ,242894,Drama,TV-MA,Drama
131,131,Dexter,2006,2013,8.7,53 ,731330,"Crime, Drama, Mystery",TV-MA,Crime
132,132,This Is Us,2016,2022,8.7,45 ,146852,"Comedy, Drama, Romance",TV-14,Comedy
133,133,Arrested Development,2003,2019,8.7,22 ,308519,Comedy,TV-14,Comedy
134,134,Downton Abbey,2010,2015,8.7,58 ,210065,"Drama, Romance",TV-PG,Drama
135,135,Invincible,2021,,8.7,50 ,144318,"Animation, Action, Adventure",TV-MA,Animation
136,136,Friday Night Lights,2006,2011,8.7,44 ,67954,"Drama, Sport",TV-14,Drama
137,137,The Marvelous Mrs. Maisel,2017,,8.7,57 ,116540,"Comedy, Drama",TV-MA,Comedy
138,138,Line of Duty,2012,2021,8.7,60 ,61445,"Crime, Drama, Mystery",TV-14,Crime
139,139,Letterkenny,2016,,8.7,30 ,24733,Comedy,TV-MA,Comedy
140,140,House of Cards,2013,2018,8.7,51 ,508964,Drama,TV-MA,Drama
141,141,Fleabag,2016,2019,8.7,27 ,164598,"Comedy, Drama",TV-MA,Comedy
142,142,Six Feet Under,2001,2005,8.7,60 ,137080,"Comedy, Drama",TV-MA,Comedy
143,143,Rome,2005,2007,8.7,52 ,174221,"Action, Drama, Romance",TV-MA,Action
144,144,Battlestar Galactica,2004,2009,8.7,44 ,167809,"Action, Adventure, Drama",TV-14,Action
145,145,Oz,1997,2003,8.7,55 ,100949,"Crime, Drama, Thriller",TV-MA,Crime
146,146,The Shield,2002,2008,8.7,47 ,82234,"Crime, Drama, Thriller",TV-MA,Crime
147,147,Heartstopper,2022,,8.7,30 ,55978,"Drama, Romance",TV-14,Drama
148,148,Anne with an E,2017,2019,8.7,60 ,57452,"Drama, Family",TV-PG,Drama
